"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"85",NA,"GLMM","5"," 1","0.1","1.5",0.84,0.998,NA
"86",NA,"GLMM","5"," 1","0.1","1.5",0.85,0.998,NA
"87",NA,"GLMM","5"," 1","0.1","1.5",0.86,0.998,NA
"88",NA,"GLMM","5"," 1","0.1","1.5",0.87,0.998,NA
"89",NA,"GLMM","5"," 1","0.1","1.5",0.88,0.998,NA
"90",NA,"GLMM","5"," 1","0.1","1.5",0.89,0.998,NA
"91",NA,"GLMM","5"," 1","0.1","1.5",0.9,0.998,NA
"92",NA,"GLMM","5"," 1","0.1","1.5",0.91,0.998,NA
"93",NA,"GLMM","5"," 1","0.1","1.5",0.92,0.998,NA
"94",NA,"GLMM","5"," 1","0.1","1.5",0.93,0.998,NA
"95",NA,"GLMM","5"," 1","0.1","1.5",0.94,0.998,NA
"96",NA,"GLMM","5"," 1","0.1","1.5",0.95,0.998,NA
"97",NA,"GLMM","5"," 1","0.1","1.5",0.96,0.998,NA
"98",NA,"GLMM","5"," 1","0.1","1.5",0.97,0.998,NA
"99",NA,"GLMM","5"," 1","0.1","1.5",0.98,0.998,NA
"100",NA,"GLMM","5"," 1","0.1","1.5",0.99,0.998,NA
"101",NA,"GLMM","5"," 1","0.1","1.5",1,1,NA
"102",NA,"GLMM","5"," 2","0.1","1.5",0,0,NA
"103",NA,"GLMM","5"," 2","0.1","1.5",0.01,0.984363354037267,NA
"104",NA,"GLMM","5"," 2","0.1","1.5",0.02,0.991767233661594,NA
"105",NA,"GLMM","5"," 2","0.1","1.5",0.03,0.995092651757189,NA
"106",NA,"GLMM","5"," 2","0.1","1.5",0.04,0.996062360801782,NA
"107",NA,"GLMM","5"," 2","0.1","1.5",0.05,0.996865671641791,NA
"108",NA,"GLMM","5"," 2","0.1","1.5",0.06,0.9974327563249,NA
"109",NA,"GLMM","5"," 2","0.1","1.5",0.07,0.99780854197349,NA
"110",NA,"GLMM","5"," 2","0.1","1.5",0.08,0.99803300330033,NA
"111",NA,"GLMM","5"," 2","0.1","1.5",0.09,0.998392344497608,NA
"112",NA,"GLMM","5"," 2","0.1","1.5",0.1,0.998612345679012,NA
"113",NA,"GLMM","5"," 2","0.1","1.5",0.11,0.998928270042194,NA
"114",NA,"GLMM","5"," 2","0.1","1.5",0.12,0.998375,NA
"115",NA,"GLMM","5"," 2","0.1","1.5",0.13,0.998,NA
"116",NA,"GLMM","5"," 2","0.1","1.5",0.14,0.998,NA
"117",NA,"GLMM","5"," 2","0.1","1.5",0.15,0.998,NA
"118",NA,"GLMM","5"," 2","0.1","1.5",0.16,0.998,NA
"119",NA,"GLMM","5"," 2","0.1","1.5",0.17,0.998,NA
"120",NA,"GLMM","5"," 2","0.1","1.5",0.18,0.998,NA
"121",NA,"GLMM","5"," 2","0.1","1.5",0.19,0.998,NA
"122",NA,"GLMM","5"," 2","0.1","1.5",0.2,0.998,NA
"123",NA,"GLMM","5"," 2","0.1","1.5",0.21,0.998,NA
"124",NA,"GLMM","5"," 2","0.1","1.5",0.22,0.998,NA
"125",NA,"GLMM","5"," 2","0.1","1.5",0.23,0.998,NA
"126",NA,"GLMM","5"," 2","0.1","1.5",0.24,0.998,NA
"127",NA,"GLMM","5"," 2","0.1","1.5",0.25,0.998,NA
"128",NA,"GLMM","5"," 2","0.1","1.5",0.26,0.998,NA
"129",NA,"GLMM","5"," 2","0.1","1.5",0.27,0.998,NA
"130",NA,"GLMM","5"," 2","0.1","1.5",0.28,0.998,NA
"131",NA,"GLMM","5"," 2","0.1","1.5",0.29,0.998,NA
"132",NA,"GLMM","5"," 2","0.1","1.5",0.3,0.998,NA
"133",NA,"GLMM","5"," 2","0.1","1.5",0.31,0.998,NA
"134",NA,"GLMM","5"," 2","0.1","1.5",0.32,0.998,NA
"135",NA,"GLMM","5"," 2","0.1","1.5",0.33,0.998,NA
"136",NA,"GLMM","5"," 2","0.1","1.5",0.34,0.998,NA
"137",NA,"GLMM","5"," 2","0.1","1.5",0.35,0.998,NA
"138",NA,"GLMM","5"," 2","0.1","1.5",0.36,0.998,NA
"139",NA,"GLMM","5"," 2","0.1","1.5",0.37,0.998,NA
"140",NA,"GLMM","5"," 2","0.1","1.5",0.38,0.998,NA
"141",NA,"GLMM","5"," 2","0.1","1.5",0.39,0.998,NA
"142",NA,"GLMM","5"," 2","0.1","1.5",0.4,0.998,NA
"143",NA,"GLMM","5"," 2","0.1","1.5",0.41,0.998,NA
"144",NA,"GLMM","5"," 2","0.1","1.5",0.42,0.998,NA
"145",NA,"GLMM","5"," 2","0.1","1.5",0.43,0.998,NA
"146",NA,"GLMM","5"," 2","0.1","1.5",0.44,0.998,NA
"147",NA,"GLMM","5"," 2","0.1","1.5",0.45,0.998,NA
"148",NA,"GLMM","5"," 2","0.1","1.5",0.46,0.998,NA
"149",NA,"GLMM","5"," 2","0.1","1.5",0.47,0.998,NA
"150",NA,"GLMM","5"," 2","0.1","1.5",0.48,0.998,NA
"151",NA,"GLMM","5"," 2","0.1","1.5",0.49,0.998,NA
"152",NA,"GLMM","5"," 2","0.1","1.5",0.5,0.998,NA
"153",NA,"GLMM","5"," 2","0.1","1.5",0.51,0.998,NA
"154",NA,"GLMM","5"," 2","0.1","1.5",0.52,0.998,NA
"155",NA,"GLMM","5"," 2","0.1","1.5",0.53,0.998,NA
"156",NA,"GLMM","5"," 2","0.1","1.5",0.54,0.998,NA
"157",NA,"GLMM","5"," 2","0.1","1.5",0.55,0.998,NA
"158",NA,"GLMM","5"," 2","0.1","1.5",0.56,0.998,NA
"159",NA,"GLMM","5"," 2","0.1","1.5",0.57,0.998,NA
"160",NA,"GLMM","5"," 2","0.1","1.5",0.58,0.998,NA
"161",NA,"GLMM","5"," 2","0.1","1.5",0.59,0.998,NA
"162",NA,"GLMM","5"," 2","0.1","1.5",0.6,0.998,NA
"163",NA,"GLMM","5"," 2","0.1","1.5",0.61,0.998,NA
"164",NA,"GLMM","5"," 2","0.1","1.5",0.62,0.998,NA
"165",NA,"GLMM","5"," 2","0.1","1.5",0.63,0.998,NA
"166",NA,"GLMM","5"," 2","0.1","1.5",0.64,0.998,NA
"167",NA,"GLMM","5"," 2","0.1","1.5",0.65,0.998,NA
"168",NA,"GLMM","5"," 2","0.1","1.5",0.66,0.998,NA
"169",NA,"GLMM","5"," 2","0.1","1.5",0.67,0.998,NA
"170",NA,"GLMM","5"," 2","0.1","1.5",0.68,0.998,NA
"171",NA,"GLMM","5"," 2","0.1","1.5",0.69,0.998,NA
"172",NA,"GLMM","5"," 2","0.1","1.5",0.7,0.998,NA
"173",NA,"GLMM","5"," 2","0.1","1.5",0.71,0.998,NA
"174",NA,"GLMM","5"," 2","0.1","1.5",0.72,0.998,NA
"175",NA,"GLMM","5"," 2","0.1","1.5",0.73,0.998,NA
"176",NA,"GLMM","5"," 2","0.1","1.5",0.74,0.998,NA
"177",NA,"GLMM","5"," 2","0.1","1.5",0.75,0.998,NA
"178",NA,"GLMM","5"," 2","0.1","1.5",0.76,0.998,NA
"179",NA,"GLMM","5"," 2","0.1","1.5",0.77,0.998,NA
"180",NA,"GLMM","5"," 2","0.1","1.5",0.78,0.998,NA
"181",NA,"GLMM","5"," 2","0.1","1.5",0.79,0.998,NA
"182",NA,"GLMM","5"," 2","0.1","1.5",0.8,0.998,NA
"183",NA,"GLMM","5"," 2","0.1","1.5",0.81,0.998,NA
"184",NA,"GLMM","5"," 2","0.1","1.5",0.82,0.998,NA
"185",NA,"GLMM","5"," 2","0.1","1.5",0.83,0.998,NA
"186",NA,"GLMM","5"," 2","0.1","1.5",0.84,0.998,NA
"187",NA,"GLMM","5"," 2","0.1","1.5",0.85,0.998,NA
"188",NA,"GLMM","5"," 2","0.1","1.5",0.86,0.998,NA
"189",NA,"GLMM","5"," 2","0.1","1.5",0.87,0.998,NA
"190",NA,"GLMM","5"," 2","0.1","1.5",0.88,0.998,NA
"191",NA,"GLMM","5"," 2","0.1","1.5",0.89,0.998,NA
"192",NA,"GLMM","5"," 2","0.1","1.5",0.9,0.998,NA
"193",NA,"GLMM","5"," 2","0.1","1.5",0.91,0.998,NA
"194",NA,"GLMM","5"," 2","0.1","1.5",0.92,0.998,NA
"195",NA,"GLMM","5"," 2","0.1","1.5",0.93,0.998,NA
"196",NA,"GLMM","5"," 2","0.1","1.5",0.94,0.998,NA
"197",NA,"GLMM","5"," 2","0.1","1.5",0.95,0.998,NA
"198",NA,"GLMM","5"," 2","0.1","1.5",0.96,0.998,NA
"199",NA,"GLMM","5"," 2","0.1","1.5",0.97,0.998,NA
"200",NA,"GLMM","5"," 2","0.1","1.5",0.98,0.998,NA
"201",NA,"GLMM","5"," 2","0.1","1.5",0.99,0.998,NA
"202",NA,"GLMM","5"," 2","0.1","1.5",1,1,NA
"203",NA,"GLMM","5"," 3","0.1","1.5",0,0,NA
"204",NA,"GLMM","5"," 3","0.1","1.5",0.01,0.984363354037267,NA
"205",NA,"GLMM","5"," 3","0.1","1.5",0.02,0.991767233661594,NA
"206",NA,"GLMM","5"," 3","0.1","1.5",0.03,0.995092651757189,NA
"207",NA,"GLMM","5"," 3","0.1","1.5",0.04,0.996062360801782,NA
"208",NA,"GLMM","5"," 3","0.1","1.5",0.05,0.996865671641791,NA
"209",NA,"GLMM","5"," 3","0.1","1.5",0.06,0.9974327563249,NA
"210",NA,"GLMM","5"," 3","0.1","1.5",0.07,0.99780854197349,NA
"211",NA,"GLMM","5"," 3","0.1","1.5",0.08,0.99803300330033,NA
"212",NA,"GLMM","5"," 3","0.1","1.5",0.09,0.998392344497608,NA
"213",NA,"GLMM","5"," 3","0.1","1.5",0.1,0.998612345679012,NA
"214",NA,"GLMM","5"," 3","0.1","1.5",0.11,0.998928270042194,NA
"215",NA,"GLMM","5"," 3","0.1","1.5",0.12,0.998375,NA
"216",NA,"GLMM","5"," 3","0.1","1.5",0.13,0.998,NA
"217",NA,"GLMM","5"," 3","0.1","1.5",0.14,0.998,NA
"218",NA,"GLMM","5"," 3","0.1","1.5",0.15,0.998,NA
"219",NA,"GLMM","5"," 3","0.1","1.5",0.16,0.998,NA
"220",NA,"GLMM","5"," 3","0.1","1.5",0.17,0.998,NA
"221",NA,"GLMM","5"," 3","0.1","1.5",0.18,0.998,NA
"222",NA,"GLMM","5"," 3","0.1","1.5",0.19,0.998,NA
"223",NA,"GLMM","5"," 3","0.1","1.5",0.2,0.998,NA
"224",NA,"GLMM","5"," 3","0.1","1.5",0.21,0.998,NA
"225",NA,"GLMM","5"," 3","0.1","1.5",0.22,0.998,NA
"226",NA,"GLMM","5"," 3","0.1","1.5",0.23,0.998,NA
"227",NA,"GLMM","5"," 3","0.1","1.5",0.24,0.998,NA
"228",NA,"GLMM","5"," 3","0.1","1.5",0.25,0.998,NA
"229",NA,"GLMM","5"," 3","0.1","1.5",0.26,0.998,NA
"230",NA,"GLMM","5"," 3","0.1","1.5",0.27,0.998,NA
"231",NA,"GLMM","5"," 3","0.1","1.5",0.28,0.998,NA
"232",NA,"GLMM","5"," 3","0.1","1.5",0.29,0.998,NA
"233",NA,"GLMM","5"," 3","0.1","1.5",0.3,0.998,NA
"234",NA,"GLMM","5"," 3","0.1","1.5",0.31,0.998,NA
"235",NA,"GLMM","5"," 3","0.1","1.5",0.32,0.998,NA
"236",NA,"GLMM","5"," 3","0.1","1.5",0.33,0.998,NA
"237",NA,"GLMM","5"," 3","0.1","1.5",0.34,0.998,NA
"238",NA,"GLMM","5"," 3","0.1","1.5",0.35,0.998,NA
"239",NA,"GLMM","5"," 3","0.1","1.5",0.36,0.998,NA
"240",NA,"GLMM","5"," 3","0.1","1.5",0.37,0.998,NA
"241",NA,"GLMM","5"," 3","0.1","1.5",0.38,0.998,NA
"242",NA,"GLMM","5"," 3","0.1","1.5",0.39,0.998,NA
"243",NA,"GLMM","5"," 3","0.1","1.5",0.4,0.998,NA
"244",NA,"GLMM","5"," 3","0.1","1.5",0.41,0.998,NA
"245",NA,"GLMM","5"," 3","0.1","1.5",0.42,0.998,NA
"246",NA,"GLMM","5"," 3","0.1","1.5",0.43,0.998,NA
"247",NA,"GLMM","5"," 3","0.1","1.5",0.44,0.998,NA
"248",NA,"GLMM","5"," 3","0.1","1.5",0.45,0.998,NA
"249",NA,"GLMM","5"," 3","0.1","1.5",0.46,0.998,NA
"250",NA,"GLMM","5"," 3","0.1","1.5",0.47,0.998,NA
"251",NA,"GLMM","5"," 3","0.1","1.5",0.48,0.998,NA
"252",NA,"GLMM","5"," 3","0.1","1.5",0.49,0.998,NA
"253",NA,"GLMM","5"," 3","0.1","1.5",0.5,0.998,NA
"254",NA,"GLMM","5"," 3","0.1","1.5",0.51,0.998,NA
"255",NA,"GLMM","5"," 3","0.1","1.5",0.52,0.998,NA
"256",NA,"GLMM","5"," 3","0.1","1.5",0.53,0.998,NA
"257",NA,"GLMM","5"," 3","0.1","1.5",0.54,0.998,NA
"258",NA,"GLMM","5"," 3","0.1","1.5",0.55,0.998,NA
"259",NA,"GLMM","5"," 3","0.1","1.5",0.56,0.998,NA
"260",NA,"GLMM","5"," 3","0.1","1.5",0.57,0.998,NA
"261",NA,"GLMM","5"," 3","0.1","1.5",0.58,0.998,NA
"262",NA,"GLMM","5"," 3","0.1","1.5",0.59,0.998,NA
"263",NA,"GLMM","5"," 3","0.1","1.5",0.6,0.998,NA
"264",NA,"GLMM","5"," 3","0.1","1.5",0.61,0.998,NA
"265",NA,"GLMM","5"," 3","0.1","1.5",0.62,0.998,NA
"266",NA,"GLMM","5"," 3","0.1","1.5",0.63,0.998,NA
"267",NA,"GLMM","5"," 3","0.1","1.5",0.64,0.998,NA
"268",NA,"GLMM","5"," 3","0.1","1.5",0.65,0.998,NA
"269",NA,"GLMM","5"," 3","0.1","1.5",0.66,0.998,NA
"270",NA,"GLMM","5"," 3","0.1","1.5",0.67,0.998,NA
"271",NA,"GLMM","5"," 3","0.1","1.5",0.68,0.998,NA
"272",NA,"GLMM","5"," 3","0.1","1.5",0.69,0.998,NA
"273",NA,"GLMM","5"," 3","0.1","1.5",0.7,0.998,NA
"274",NA,"GLMM","5"," 3","0.1","1.5",0.71,0.998,NA
"275",NA,"GLMM","5"," 3","0.1","1.5",0.72,0.998,NA
"276",NA,"GLMM","5"," 3","0.1","1.5",0.73,0.998,NA
"277",NA,"GLMM","5"," 3","0.1","1.5",0.74,0.998,NA
"278",NA,"GLMM","5"," 3","0.1","1.5",0.75,0.998,NA
"279",NA,"GLMM","5"," 3","0.1","1.5",0.76,0.998,NA
"280",NA,"GLMM","5"," 3","0.1","1.5",0.77,0.998,NA
"281",NA,"GLMM","5"," 3","0.1","1.5",0.78,0.998,NA
"282",NA,"GLMM","5"," 3","0.1","1.5",0.79,0.998,NA
"283",NA,"GLMM","5"," 3","0.1","1.5",0.8,0.998,NA
"284",NA,"GLMM","5"," 3","0.1","1.5",0.81,0.998,NA
"285",NA,"GLMM","5"," 3","0.1","1.5",0.82,0.998,NA
"286",NA,"GLMM","5"," 3","0.1","1.5",0.83,0.998,NA
"287",NA,"GLMM","5"," 3","0.1","1.5",0.84,0.998,NA
"288",NA,"GLMM","5"," 3","0.1","1.5",0.85,0.998,NA
"289",NA,"GLMM","5"," 3","0.1","1.5",0.86,0.998,NA
"290",NA,"GLMM","5"," 3","0.1","1.5",0.87,0.998,NA
"291",NA,"GLMM","5"," 3","0.1","1.5",0.88,0.998,NA
"292",NA,"GLMM","5"," 3","0.1","1.5",0.89,0.998,NA
"293",NA,"GLMM","5"," 3","0.1","1.5",0.9,0.998,NA
"294",NA,"GLMM","5"," 3","0.1","1.5",0.91,0.998,NA
"295",NA,"GLMM","5"," 3","0.1","1.5",0.92,0.998,NA
"296",NA,"GLMM","5"," 3","0.1","1.5",0.93,0.998,NA
"297",NA,"GLMM","5"," 3","0.1","1.5",0.94,0.998,NA
"298",NA,"GLMM","5"," 3","0.1","1.5",0.95,0.998,NA
"299",NA,"GLMM","5"," 3","0.1","1.5",0.96,0.998,NA
"300",NA,"GLMM","5"," 3","0.1","1.5",0.97,0.998,NA
"301",NA,"GLMM","5"," 3","0.1","1.5",0.98,0.998,NA
"302",NA,"GLMM","5"," 3","0.1","1.5",0.99,0.998,NA
"303",NA,"GLMM","5"," 3","0.1","1.5",1,1,NA
"304",NA,"GLMM","5"," 4","0.1","1.5",0,0,NA
"305",NA,"GLMM","5"," 4","0.1","1.5",0.01,0.984363354037267,NA
"306",NA,"GLMM","5"," 4","0.1","1.5",0.02,0.991767233661594,NA
"307",NA,"GLMM","5"," 4","0.1","1.5",0.03,0.995092651757189,NA
"308",NA,"GLMM","5"," 4","0.1","1.5",0.04,0.996062360801782,NA
"309",NA,"GLMM","5"," 4","0.1","1.5",0.05,0.996865671641791,NA
"310",NA,"GLMM","5"," 4","0.1","1.5",0.06,0.9974327563249,NA
"311",NA,"GLMM","5"," 4","0.1","1.5",0.07,0.99780854197349,NA
"312",NA,"GLMM","5"," 4","0.1","1.5",0.08,0.99803300330033,NA
