"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr"
"63","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.62,0.634146341463415
"64","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.63,0.634146341463415
"65","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.64,0.634146341463415
"66","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.65,0.634146341463415
"67","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.66,0.634146341463415
"68","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.67,0.634146341463415
"69","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.68,0.634146341463415
"70","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.69,0.634146341463415
"71","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.7,0.634146341463415
"72","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.71,0.634146341463415
"73","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.72,0.634146341463415
"74","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.73,0.634146341463415
"75","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.74,0.634146341463415
"76","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.75,0.634146341463415
"77","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.76,0.634146341463415
"78","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.77,0.634146341463415
"79","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.78,0.634146341463415
"80","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.79,0.634146341463415
"81","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.8,0.634146341463415
"82","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.81,0.634146341463415
"83","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.82,0.634146341463415
"84","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.83,0.634146341463415
"85","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.84,0.634146341463415
"86","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.85,0.634146341463415
"87","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.86,0.634146341463415
"88","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.87,0.634146341463415
"89","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.88,0.634146341463415
"90","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.89,0.634146341463415
"91","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.9,0.634146341463415
"92","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.91,0.634146341463415
"93","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.92,0.634146341463415
"94","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.93,0.634146341463415
"95","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.94,0.634146341463415
"96","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.95,0.634146341463415
"97","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.96,0.634146341463415
"98","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.97,0.634146341463415
"99","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.98,0.634146341463415
"100","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",0.99,0.634146341463415
"101","DESeq2","circexplorer2_star","5"," 1","0.1","1.5",1,1
"102","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0,0
"103","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.01,0.532646048109966
"104","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.02,0.566838487972509
"105","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.03,0.584364261168385
"106","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.04,0.592783505154639
"107","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.05,0.592783505154639
"108","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.06,0.601110229976209
"109","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.07,0.614583333333333
"110","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.08,0.618556701030928
"111","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.09,0.62097293814433
"112","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.1,0.623024054982818
"113","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.11,0.624742268041237
"114","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.12,0.626288659793814
"115","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.13,0.630154639175258
"116","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.14,0.632731958762887
"117","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.15,0.63611469072165
"118","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.16,0.638208762886598
