"","method","dataset","sampleSize","simulation","FPR","foldEffect","fpr","tpr","se"
"117","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.15,0.63611469072165,NA
"118","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.16,0.638208762886598,NA
"119","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.17,0.639175257731959,NA
"120","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.18,0.639175257731959,NA
"121","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.19,0.639175257731959,NA
"122","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.2,0.639175257731959,NA
"123","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.21,0.639175257731959,NA
"124","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.22,0.639175257731959,NA
"125","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.23,0.639175257731959,NA
"126","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.24,0.639175257731959,NA
"127","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.25,0.639175257731959,NA
"128","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.26,0.639175257731959,NA
"129","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.27,0.639175257731959,NA
"130","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.28,0.639175257731959,NA
"131","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.29,0.639175257731959,NA
"132","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.3,0.639175257731959,NA
"133","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.31,0.639175257731959,NA
"134","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.32,0.639175257731959,NA
"135","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.33,0.649484536082474,NA
"136","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.34,0.649484536082474,NA
"137","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.35,0.649484536082474,NA
"138","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.36,0.649484536082474,NA
"139","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.37,0.649484536082474,NA
"140","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.38,0.649484536082474,NA
"141","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.39,0.649484536082474,NA
"142","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.4,0.649484536082474,NA
"143","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.41,0.649484536082474,NA
"144","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.42,0.649484536082474,NA
"145","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.43,0.649484536082474,NA
"146","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.44,0.65979381443299,NA
"147","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.45,0.65979381443299,NA
"148","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.46,0.662371134020619,NA
"149","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.47,0.662371134020619,NA
"150","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.48,0.662371134020619,NA
"151","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.49,0.662371134020619,NA
"152","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.5,0.662371134020619,NA
"153","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.51,0.662371134020619,NA
"154","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.52,0.662371134020619,NA
"155","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.53,0.662371134020619,NA
"156","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.54,0.662371134020619,NA
"157","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.55,0.662371134020619,NA
"158","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.56,0.662371134020619,NA
"159","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.57,0.662371134020619,NA
"160","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.58,0.662371134020619,NA
"161","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.59,0.662371134020619,NA
"162","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.6,0.662371134020619,NA
"163","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.61,0.662371134020619,NA
"164","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.62,0.662371134020619,NA
"165","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.63,0.662371134020619,NA
"166","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.64,0.662371134020619,NA
"167","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.65,0.662371134020619,NA
"168","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.66,0.662371134020619,NA
"169","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.67,0.662371134020619,NA
"170","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.68,0.662371134020619,NA
"171","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.69,0.662371134020619,NA
"172","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.7,0.662371134020619,NA
"173","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.71,0.662371134020619,NA
"174","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.72,0.662371134020619,NA
"175","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.73,0.662371134020619,NA
"176","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.74,0.662371134020619,NA
"177","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.75,0.662371134020619,NA
"178","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.76,0.662371134020619,NA
"179","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.77,0.662371134020619,NA
"180","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.78,0.662371134020619,NA
"181","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.79,0.662371134020619,NA
"182","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.8,0.662371134020619,NA
"183","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.81,0.662371134020619,NA
"184","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.82,0.662371134020619,NA
"185","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.83,0.662371134020619,NA
"186","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.84,0.662371134020619,NA
"187","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.85,0.662371134020619,NA
"188","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.86,0.662371134020619,NA
"189","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.87,0.662371134020619,NA
"190","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.88,0.662371134020619,NA
"191","DESeq2","circexplorer2_star","5"," 2","0.1","1.5",0.89,0.662371134020619,NA
