"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"192","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1,"18","dcc","NB","5","0.1","1.5"," 60991469"
"193","DESeq2",0,990,990,0.856565656565657,0.995661846496107,0.0439684329199549,0.99350883697936,"19","dcc","NB","5","0.1","1.5","159625080"
"194","voom",0,990,990,0.866666666666667,0.995216907675195,0.0477247502774695,0.991673014909935,"19","dcc","NB","5","0.1","1.5","159625080"
"195","edgeR-robust",0,990,990,0.874747474747475,0.985761957730812,0.128772635814889,0.988789058549896,"19","dcc","NB","5","0.1","1.5","159625080"
"196","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1,"19","dcc","NB","5","0.1","1.5","159625080"
"197","DESeq2",0,988,988,0.86336032388664,0.995216907675195,0.0479910714285714,0.993687317892576,"20","dcc","NB","5","0.1","1.5","125843231"
"198","voom",0,988,988,0.864372469635628,0.99432703003337,0.056353591160221,0.992289509711647,"20","dcc","NB","5","0.1","1.5","125843231"
"199","edgeR-robust",0,988,988,0.875506072874494,0.98587319243604,0.128024193548387,0.989682981090101,"20","dcc","NB","5","0.1","1.5","125843231"
"200","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,0.999997777777778,"20","dcc","NB","5","0.1","1.5","125843231"
"201","DESeq2",0,992,992,0.845766129032258,0.995663293672857,0.0444191343963554,0.99422747710585,"21","dcc","NB","5","0.1","1.5","  5621294"
"202","voom",0,992,992,0.858870967741935,0.996664072056044,0.0340136054421769,0.993420621953287,"21","dcc","NB","5","0.1","1.5","  5621294"
"203","edgeR-robust",0,992,992,0.849798387096774,0.990325808962526,0.0935483870967742,0.989712540757515,"21","dcc","NB","5","0.1","1.5","  5621294"
"204","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,0.999999555555556,"21","dcc","NB","5","0.1","1.5","  5621294"
"205","DESeq2",0,993,993,0.860020140986908,0.995107849677563,0.0489977728285078,0.994881784230778,"22","dcc","NB","5","0.1","1.5","265970915"
"206","voom",0,993,993,0.882175226586103,0.99599733155437,0.0394736842105263,0.993643462879254,"22","dcc","NB","5","0.1","1.5","265970915"
"207","edgeR-robust",0,993,993,0.868076535750252,0.989103847009117,0.102083333333333,0.989892220862924,"22","dcc","NB","5","0.1","1.5","265970915"
"208","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,0.999998222222222,"22","dcc","NB","5","0.1","1.5","265970915"
"209","DESeq2",0,990,990,0.875757575757576,0.995439884328773,0.0451541850220264,0.995268556996949,"23","dcc","NB","5","0.1","1.5","102864919"
"210","voom",0,990,990,0.880808080808081,0.996663329996663,0.0332594235033259,0.993739980159737,"23","dcc","NB","5","0.1","1.5","102864919"
"211","edgeR-robust",0,990,990,0.882828282828283,0.989322655989323,0.0989690721649484,0.990873589639024,"23","dcc","NB","5","0.1","1.5","102864919"
"212","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"23","dcc","NB","5","0.1","1.5","102864919"
"213","DESeq2",0,996,996,0.835341365461847,0.996664072056044,0.0348027842227378,0.994211528645439,"24","dcc","NB","5","0.1","1.5","147441099"
"214","voom",0,996,996,0.847389558232932,0.99644167685978,0.0365296803652968,0.992659228038587,"24","dcc","NB","5","0.1","1.5","147441099"
"215","edgeR-robust",0,996,996,0.855421686746988,0.987768264205493,0.114345114345114,0.989695075196822,"24","dcc","NB","5","0.1","1.5","147441099"
"216","GLMM",0,500,500,1,0.998444444444444,0.0138067061143984,1,"24","dcc","NB","5","0.1","1.5","147441099"
"217","DESeq2",0,992,992,0.863911290322581,0.994995551601424,0.0498891352549889,0.995437476681783,"25","dcc","NB","5","0.1","1.5","250013908"
"218","voom",0,992,992,0.891129032258065,0.994439501779359,0.0535331905781585,0.993780930271356,"25","dcc","NB","5","0.1","1.5","250013908"
"219","edgeR-robust",0,992,992,0.866935483870968,0.986209964412811,0.126016260162602,0.990008367652983,"25","dcc","NB","5","0.1","1.5","250013908"
"220","GLMM",0,500,500,0.998,0.998888888888889,0.00992063492063492,0.999996888888889,"25","dcc","NB","5","0.1","1.5","250013908"
"221","DESeq2",0,994,994,0.859154929577465,0.996885428253615,0.0317460317460317,0.995983520701518,"26","dcc","NB","5","0.1","1.5"," 53541061"
"222","voom",0,994,994,0.868209255533199,0.996106785317019,0.0389755011135857,0.993617265327218,"26","dcc","NB","5","0.1","1.5"," 53541061"
"223","edgeR-robust",0,994,994,0.875251509054326,0.989098998887653,0.101239669421488,0.991769694921478,"26","dcc","NB","5","0.1","1.5"," 53541061"
"224","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1,"26","dcc","NB","5","0.1","1.5"," 53541061"
"225","DESeq2",0,990,990,0.84040404040404,0.995549126516079,0.0458715596330275,0.99349840903752,"27","dcc","NB","5","0.1","1.5"," 89344423"
"226","voom",0,990,990,0.860606060606061,0.995882942027373,0.0416197975253093,0.992651506721835,"27","dcc","NB","5","0.1","1.5"," 89344423"
"227","edgeR-robust",0,990,990,0.854545454545454,0.988316457104707,0.110410094637224,0.990041620162908,"27","dcc","NB","5","0.1","1.5"," 89344423"
"228","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,0.999999555555556,"27","dcc","NB","5","0.1","1.5"," 89344423"
"229","DESeq2",0,987,987,0.855116514690983,0.995215843346684,0.04847801578354,0.993794326241133,"28","dcc","NB","5","0.1","1.5","248395923"
"230","voom",0,987,987,0.857142857142857,0.994770805518469,0.0526315789473684,0.991750060533246,"28","dcc","NB","5","0.1","1.5","248395923"
"231","edgeR-robust",0,987,987,0.871327254305978,0.985647530040053,0.130434782608696,0.989085131633341,"28","dcc","NB","5","0.1","1.5","248395923"
"232","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1,"28","dcc","NB","5","0.1","1.5","248395923"
"233","DESeq2",0,992,992,0.852822580645161,0.995773551329107,0.0429864253393665,0.99524457252952,"29","dcc","NB","5","0.1","1.5"," 68069656"
"234","voom",0,992,992,0.890120967741935,0.996218440662885,0.0370774263904035,0.995234593912911,"29","dcc","NB","5","0.1","1.5"," 68069656"
"235","edgeR-robust",0,992,992,0.858870967741935,0.988210432654877,0.110647181628392,0.991294778201142,"29","dcc","NB","5","0.1","1.5"," 68069656"
"236","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"29","dcc","NB","5","0.1","1.5"," 68069656"
"237","DESeq2",0,996,996,0.850401606425703,0.994883203559511,0.051511758118701,0.994411237832308,"30","dcc","NB","5","0.1","1.5","183001341"
"238","voom",0,996,996,0.867469879518072,0.994438264738598,0.0547045951859956,0.993051293047603,"30","dcc","NB","5","0.1","1.5","183001341"
"239","edgeR-robust",0,996,996,0.855421686746988,0.986318131256952,0.126153846153846,0.98957325408419,"30","dcc","NB","5","0.1","1.5","183001341"
"240","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,0.999998222222222,"30","dcc","NB","5","0.1","1.5","183001341"
"241","DESeq2",0,1000,1000,0.985,0.996222222222222,0.0333660451422964,0.999621722222222," 1","ciri","NB","5","0.1","1.5","267838020"
"242","voom",0,1000,1000,0.99,0.994777777777778,0.0453230472516876,0.999744055555556," 1","ciri","NB","5","0.1","1.5","267838020"
"243","edgeR-robust",0,1000,1000,0.982,0.986111111111111,0.112917795844625,0.998888444444443," 1","ciri","NB","5","0.1","1.5","267838020"
"244","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1," 1","ciri","NB","5","0.1","1.5","267838020"
"245","DESeq2",0,1000,1000,0.979,0.995,0.0439453125,0.999418888888887," 2","ciri","NB","5","0.1","1.5"," 30535620"
"246","voom",0,1000,1000,0.99,0.994777777777778,0.0453230472516876,0.999510777777775," 2","ciri","NB","5","0.1","1.5"," 30535620"
"247","edgeR-robust",0,1000,1000,0.969,0.988,0.100278551532033,0.998547277777777," 2","ciri","NB","5","0.1","1.5"," 30535620"
"248","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1," 2","ciri","NB","5","0.1","1.5"," 30535620"
"249","DESeq2",0,999,999,0.981981981981982,0.993888888888889,0.0530888030888031,0.999202480258035," 3","ciri","NB","5","0.1","1.5"," 10667539"
"250","voom",0,999,999,0.984984984984985,0.993,0.0601719197707736,0.999404404404404," 3","ciri","NB","5","0.1","1.5"," 10667539"
"251","edgeR-robust",0,999,999,0.976976976976977,0.985555555555556,0.11754068716094,0.998345400956511," 3","ciri","NB","5","0.1","1.5"," 10667539"
"252","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,1," 3","ciri","NB","5","0.1","1.5"," 10667539"
"253","DESeq2",0,999,999,0.986986986986987,0.995555555555556,0.0389863547758285,0.999639584028473," 4","ciri","NB","5","0.1","1.5","169833744"
"254","voom",0,999,999,0.984984984984985,0.995,0.043731778425656,0.999361250139028," 4","ciri","NB","5","0.1","1.5","169833744"
"255","edgeR-robust",0,999,999,0.984984984984985,0.986555555555556,0.109502262443439,0.998945556667779," 4","ciri","NB","5","0.1","1.5","169833744"
"256","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1," 4","ciri","NB","5","0.1","1.5","169833744"
"257","DESeq2",0,1000,1000,0.98,0.994222222222222,0.0503875968992248,0.999546611111111," 5","ciri","NB","5","0.1","1.5","267349656"
"258","voom",0,1000,1000,0.989,0.995222222222222,0.0416666666666667,0.999585611111111," 5","ciri","NB","5","0.1","1.5","267349656"
"259","edgeR-robust",0,1000,1000,0.976,0.987555555555556,0.102941176470588,0.998655166666666," 5","ciri","NB","5","0.1","1.5","267349656"
"260","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1," 5","ciri","NB","5","0.1","1.5","267349656"
"261","DESeq2",0,1000,1000,0.986,0.995,0.04364694471387,0.9996755," 6","ciri","NB","5","0.1","1.5","218860233"
"262","voom",0,1000,1000,0.986,0.995666666666667,0.0380487804878049,0.999395166666664," 6","ciri","NB","5","0.1","1.5","218860233"
"263","edgeR-robust",0,1000,1000,0.982,0.985222222222222,0.119282511210762,0.998618666666664," 6","ciri","NB","5","0.1","1.5","218860233"
"264","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1," 6","ciri","NB","5","0.1","1.5","218860233"
"265","DESeq2",0,1000,1000,0.984,0.994555555555556,0.0474346563407551,0.999547499999999," 7","ciri","NB","5","0.1","1.5","262285600"
"266","voom",0,1000,1000,0.988,0.995111111111111,0.0426356589147287,0.999761222222222," 7","ciri","NB","5","0.1","1.5","262285600"
"267","edgeR-robust",0,1000,1000,0.98,0.984777777777778,0.122649955237243,0.998871777777775," 7","ciri","NB","5","0.1","1.5","262285600"
"268","GLMM",0,500,500,1,0.997555555555556,0.0215264187866928,1," 7","ciri","NB","5","0.1","1.5","262285600"
"269","DESeq2",0,999,999,0.975975975975976,0.995222222222222,0.0422396856581532,0.99957279501724," 8","ciri","NB","5","0.1","1.5"," 38316420"
"270","voom",0,999,999,0.988988988988989,0.995666666666667,0.0379746835443038,0.999601101101101," 8","ciri","NB","5","0.1","1.5"," 38316420"
"271","edgeR-robust",0,999,999,0.970970970970971,0.988,0.100185528756957,0.998626571015459," 8","ciri","NB","5","0.1","1.5"," 38316420"
"272","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,1," 8","ciri","NB","5","0.1","1.5"," 38316420"
"273","DESeq2",0,998,998,0.974949899799599,0.994666666666667,0.0470127326150832,0.999479180583389," 9","ciri","NB","5","0.1","1.5"," 25088220"
"274","voom",0,998,998,0.986973947895792,0.993888888888889,0.0528846153846154,0.999325985303941," 9","ciri","NB","5","0.1","1.5"," 25088220"
"275","edgeR-robust",0,998,998,0.972945891783567,0.986444444444444,0.111619396157365,0.998469995546649," 9","ciri","NB","5","0.1","1.5"," 25088220"
"276","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1," 9","ciri","NB","5","0.1","1.5"," 25088220"
"277","DESeq2",0,1000,1000,0.988,0.995111111111111,0.0426356589147287,0.999742388888889,"10","ciri","NB","5","0.1","1.5","146531030"
"278","voom",0,1000,1000,0.99,0.996,0.0350877192982456,0.999757,"10","ciri","NB","5","0.1","1.5","146531030"
"279","edgeR-robust",0,1000,1000,0.988,0.985777777777778,0.114695340501792,0.999341166666667,"10","ciri","NB","5","0.1","1.5","146531030"
"280","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1,"10","ciri","NB","5","0.1","1.5","146531030"
"281","DESeq2",0,1000,1000,0.981,0.994333333333333,0.0494186046511628,0.999513444444444,"11","ciri","NB","5","0.1","1.5","167848135"
"282","voom",0,1000,1000,0.98,0.994555555555556,0.0476190476190476,0.999460777777777,"11","ciri","NB","5","0.1","1.5","167848135"
"283","edgeR-robust",0,1000,1000,0.97,0.987222222222222,0.105990783410138,0.998637944444442,"11","ciri","NB","5","0.1","1.5","167848135"
"284","GLMM",0,500,500,1,0.997777777777778,0.0196078431372549,1,"11","ciri","NB","5","0.1","1.5","167848135"
"285","DESeq2",0,1000,1000,0.985,0.995222222222222,0.0418287937743191,0.999651333333334,"12","ciri","NB","5","0.1","1.5"," 51942901"
"286","voom",0,1000,1000,0.985,0.994333333333333,0.0492277992277992,0.999759555555556,"12","ciri","NB","5","0.1","1.5"," 51942901"
"287","edgeR-robust",0,1000,1000,0.982,0.987444444444444,0.103196347031963,0.999029388888889,"12","ciri","NB","5","0.1","1.5"," 51942901"
"288","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1,"12","ciri","NB","5","0.1","1.5"," 51942901"
"289","DESeq2",0,999,999,0.986986986986987,0.995888888888889,0.0361681329423265,0.999627349571794,"13","ciri","NB","5","0.1","1.5"," 95831643"
"290","voom",0,999,999,0.98998998998999,0.995555555555556,0.0388726919339164,0.999796518740963,"13","ciri","NB","5","0.1","1.5"," 95831643"
"291","edgeR-robust",0,999,999,0.977977977977978,0.988777777777778,0.0936920222634508,0.998897174952729,"13","ciri","NB","5","0.1","1.5"," 95831643"
"292","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"13","ciri","NB","5","0.1","1.5"," 95831643"
"293","DESeq2",0,998,998,0.981963927855711,0.996111111111111,0.0344827586206897,0.99926926074371,"14","ciri","NB","5","0.1","1.5","232043715"
"294","voom",0,998,998,0.985971943887776,0.995666666666667,0.0381231671554252,0.999352315742596,"14","ciri","NB","5","0.1","1.5","232043715"
"295","edgeR-robust",0,998,998,0.973947895791583,0.989333333333333,0.0898876404494382,0.998465319527945,"14","ciri","NB","5","0.1","1.5","232043715"
"296","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,1,"14","ciri","NB","5","0.1","1.5","232043715"
"297","DESeq2",0,1000,1000,0.982,0.995111111111111,0.0428849902534113,0.998540388888891,"15","ciri","NB","5","0.1","1.5","163641384"
"298","voom",0,1000,1000,0.994,0.995,0.0433108758421559,0.998731611111121,"15","ciri","NB","5","0.1","1.5","163641384"
"299","edgeR-robust",0,1000,1000,0.977,0.989111111111111,0.0911627906976744,0.998093666666672,"15","ciri","NB","5","0.1","1.5","163641384"
"300","GLMM",0,500,500,1,0.999555555555556,0.00398406374501992,1,"15","ciri","NB","5","0.1","1.5","163641384"
"301","DESeq2",0,999,999,0.984984984984985,0.995333333333333,0.0409356725146199,0.999433377822267,"16","ciri","NB","5","0.1","1.5","120944313"
"302","voom",0,999,999,0.990990990990991,0.995444444444444,0.0397672162948594,0.999668279390502,"16","ciri","NB","5","0.1","1.5","120944313"
"303","edgeR-robust",0,999,999,0.985985985985986,0.987222222222222,0.104545454545455,0.998820765209653,"16","ciri","NB","5","0.1","1.5","120944313"
"304","GLMM",0,500,500,1,0.999777777777778,0.00199600798403194,1,"16","ciri","NB","5","0.1","1.5","120944313"
"305","DESeq2",0,1000,1000,0.983,0.994888888888889,0.0447035957240039,0.998501277777782,"17","ciri","NB","5","0.1","1.5","192114541"
"306","voom",0,1000,1000,0.979,0.995,0.0439453125,0.999370444444444,"17","ciri","NB","5","0.1","1.5","192114541"
"307","edgeR-robust",0,1000,1000,0.975,0.986444444444444,0.111212397447584,0.998373277777776,"17","ciri","NB","5","0.1","1.5","192114541"
"308","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"17","ciri","NB","5","0.1","1.5","192114541"
"309","DESeq2",0,1000,1000,0.986,0.994333333333333,0.0491803278688525,0.999483777777777,"18","ciri","NB","5","0.1","1.5","207013860"
"310","voom",0,1000,1000,0.985,0.994666666666667,0.0464666021297193,0.999664666666666,"18","ciri","NB","5","0.1","1.5","207013860"
"311","edgeR-robust",0,1000,1000,0.982,0.987444444444444,0.103196347031963,0.998652666666664,"18","ciri","NB","5","0.1","1.5","207013860"
"312","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"18","ciri","NB","5","0.1","1.5","207013860"
"313","DESeq2",0,1000,1000,0.985,0.994777777777778,0.0455426356589147,0.9996215,"19","ciri","NB","5","0.1","1.5"," 22317071"
"314","voom",0,1000,1000,0.992,0.994666666666667,0.0461538461538462,0.999702611111111,"19","ciri","NB","5","0.1","1.5"," 22317071"
"315","edgeR-robust",0,1000,1000,0.978,0.988222222222222,0.0977859778597786,0.998773055555555,"19","ciri","NB","5","0.1","1.5"," 22317071"
"316","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"19","ciri","NB","5","0.1","1.5"," 22317071"
"317","DESeq2",0,999,999,0.976976976976977,0.994333333333333,0.0496592015579357,0.999246023801579,"20","ciri","NB","5","0.1","1.5"," 74718903"
"318","voom",0,999,999,0.97997997997998,0.995333333333333,0.0411361410381978,0.999056500945389,"20","ciri","NB","5","0.1","1.5"," 74718903"
"319","edgeR-robust",0,999,999,0.976976976976977,0.984777777777778,0.123090745732255,0.998365087309532,"20","ciri","NB","5","0.1","1.5"," 74718903"
"320","GLMM",0,500,500,1,0.998,0.0176817288801572,1,"20","ciri","NB","5","0.1","1.5"," 74718903"
"321","DESeq2",0,998,998,0.983967935871743,0.995,0.0438169425511198,0.998952237808952,"21","ciri","NB","5","0.1","1.5"," 86038248"
"322","voom",0,998,998,0.983967935871743,0.994666666666667,0.0466019417475728,0.999363950122467,"21","ciri","NB","5","0.1","1.5"," 86038248"
"323","edgeR-robust",0,998,998,0.981963927855711,0.988888888888889,0.0925925925925926,0.998311511912714,"21","ciri","NB","5","0.1","1.5"," 86038248"
"324","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"21","ciri","NB","5","0.1","1.5"," 86038248"
"325","DESeq2",0,1000,1000,0.978,0.995221691299033,0.0421155729676787,0.999404878319815,"22","ciri","NB","5","0.1","1.5","212447426"
"326","voom",0,1000,1000,0.982,0.994666074008223,0.0466019417475728,0.998664796088451,"22","ciri","NB","5","0.1","1.5","212447426"
"327","edgeR-robust",0,1000,1000,0.979,0.986887431936882,0.107566089334549,0.998239415490609,"22","ciri","NB","5","0.1","1.5","212447426"
"328","GLMM",0,500,500,1,0.999111111111111,0.00793650793650794,1,"22","ciri","NB","5","0.1","1.5","212447426"
"329","DESeq2",0,999,999,0.977977977977978,0.996,0.035538005923001,0.999678456234012,"23","ciri","NB","5","0.1","1.5","159923527"
"330","voom",0,999,999,0.982982982982983,0.995,0.0438169425511198,0.999536647758869,"23","ciri","NB","5","0.1","1.5","159923527"
"331","edgeR-robust",0,999,999,0.968968968968969,0.988222222222222,0.0986964618249535,0.998729396062728,"23","ciri","NB","5","0.1","1.5","159923527"
"332","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"23","ciri","NB","5","0.1","1.5","159923527"
"333","DESeq2",0,999,999,0.971971971971972,0.995777777777778,0.0376610505450942,0.999328383939495,"24","ciri","NB","5","0.1","1.5"," 32939965"
"334","voom",0,999,999,0.985985985985986,0.995222222222222,0.0418287937743191,0.999656545434323,"24","ciri","NB","5","0.1","1.5"," 32939965"
"335","edgeR-robust",0,999,999,0.965965965965966,0.985333333333333,0.120328167730173,0.998252196641086,"24","ciri","NB","5","0.1","1.5"," 32939965"
"336","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1,"24","ciri","NB","5","0.1","1.5"," 32939965"
"337","DESeq2",0,1000,1000,0.981,0.995222222222222,0.0419921875,0.999323888888887,"25","ciri","NB","5","0.1","1.5"," 38962741"
"338","voom",0,1000,1000,0.987,0.994111111111111,0.0509615384615385,0.99911311111111,"25","ciri","NB","5","0.1","1.5"," 38962741"
"339","edgeR-robust",0,1000,1000,0.979,0.986333333333333,0.111615245009074,0.99829911111111,"25","ciri","NB","5","0.1","1.5"," 38962741"
"340","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1,"25","ciri","NB","5","0.1","1.5"," 38962741"
"341","DESeq2",0,999,999,0.980980980980981,0.993444444444444,0.0567853705486044,0.999261483705928,"26","ciri","NB","5","0.1","1.5","136368578"
"342","voom",0,999,999,0.98998998998999,0.993555555555556,0.055396370582617,0.999659882104327,"26","ciri","NB","5","0.1","1.5","136368578"
"343","edgeR-robust",0,999,999,0.975975975975976,0.985888888888889,0.11524500907441,0.998467356245134,"26","ciri","NB","5","0.1","1.5","136368578"
"344","GLMM",0,500,500,1,0.998222222222222,0.015748031496063,1,"26","ciri","NB","5","0.1","1.5","136368578"
"345","DESeq2",0,999,999,0.988988988988989,0.996333333333333,0.0323212536728697,0.999587810032255,"27","ciri","NB","5","0.1","1.5","197948537"
"346","voom",0,999,999,0.98998998998999,0.995666666666667,0.0379377431906615,0.999716716716717,"27","ciri","NB","5","0.1","1.5","197948537"
"347","edgeR-robust",0,999,999,0.97997997997998,0.988444444444444,0.0960295475530933,0.998896285174063,"27","ciri","NB","5","0.1","1.5","197948537"
"348","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,1,"27","ciri","NB","5","0.1","1.5","197948537"
"349","DESeq2",0,999,999,0.986986986986987,0.993555555555556,0.0555555555555556,0.999594372149928,"28","ciri","NB","5","0.1","1.5"," 45084651"
"350","voom",0,999,999,0.993993993993994,0.993666666666667,0.0542857142857143,0.999782449115782,"28","ciri","NB","5","0.1","1.5"," 45084651"
"351","edgeR-robust",0,999,999,0.982982982982983,0.985333333333333,0.118491921005386,0.998862696029363,"28","ciri","NB","5","0.1","1.5"," 45084651"
"352","GLMM",0,500,500,1,0.999777777777778,0.00199600798403194,1,"28","ciri","NB","5","0.1","1.5"," 45084651"
"353","DESeq2",0,999,999,0.980980980980981,0.993666666666667,0.0549662487945998,0.999314592370147,"29","ciri","NB","5","0.1","1.5"," 64660335"
"354","voom",0,999,999,0.97997997997998,0.993888888888889,0.0531914893617021,0.999305416527639,"29","ciri","NB","5","0.1","1.5"," 64660335"
"355","edgeR-robust",0,999,999,0.975975975975976,0.984333333333333,0.126344086021505,0.998193804916026,"29","ciri","NB","5","0.1","1.5"," 64660335"
"356","GLMM",0,500,500,1,0.999777777777778,0.00199600798403194,1,"29","ciri","NB","5","0.1","1.5"," 64660335"
"357","DESeq2",0,1000,1000,0.984,0.994888888888889,0.0446601941747573,0.999658222222222,"30","ciri","NB","5","0.1","1.5","175933792"
"358","voom",0,1000,1000,0.988,0.995,0.0435624394966118,0.999746055555556,"30","ciri","NB","5","0.1","1.5","175933792"
"359","edgeR-robust",0,1000,1000,0.981,0.985111111111111,0.120179372197309,0.998980222222222,"30","ciri","NB","5","0.1","1.5","175933792"
"360","GLMM",0,500,500,1,0.998888888888889,0.0099009900990099,1,"30","ciri","NB","5","0.1","1.5","175933792"
