"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"38","voom",0,857,857,0.0665110851808635,1,0,0.929517944415212,"10","findcirc","NB","5","0.1","1.5","104346507"
"39","edgeR-robust",0,857,857,0.477246207701284,0.992584619064705,0.131634819532909,0.94178694296197,"10","findcirc","NB","5","0.1","1.5","104346507"
"40","GLMM",0,500,500,0.848,0.998222222222222,0.0185185185185185,0.993553333333333,"10","findcirc","NB","5","0.1","1.5","104346507"
"41","DESeq2",0.697984395318596,862,862,0.441814595660749,0.995175438596491,0.0468085106382979,0.732787057102747,"11","findcirc","NB","5","0.1","1.5","251704523"
"42","voom",0,862,862,0.112529002320186,1,0,0.930831858372718,"11","findcirc","NB","5","0.1","1.5","251704523"
"43","edgeR-robust",0,862,862,0.481438515081206,0.99497967965575,0.0919037199124726,0.942769124613876,"11","findcirc","NB","5","0.1","1.5","251704523"
"44","GLMM",0,500,500,0.878,0.998666666666667,0.0134831460674157,0.994091777777778,"11","findcirc","NB","5","0.1","1.5","251704523"
"45","DESeq2",0.697896334851442,871,871,0.47239263803681,0.99564649542882,0.04149377593361,0.716887752499718,"12","findcirc","NB","5","0.1","1.5","230695930"
"46","voom",0,871,871,0.103329506314581,0.999760507723626,0.0217391304347826,0.941347970316711,"12","findcirc","NB","5","0.1","1.5","230695930"
"47","edgeR-robust",0,871,871,0.442020665901263,0.994970662196144,0.0983606557377049,0.949646542670528,"12","findcirc","NB","5","0.1","1.5","230695930"
"48","GLMM",0,500,500,0.836,0.997777777777778,0.0233644859813084,0.996076,"12","findcirc","NB","5","0.1","1.5","230695930"
"49","DESeq2",0.678687459389214,868,868,0.401140684410646,0.994674313805817,0.0580357142857143,0.741078176313827,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"50","voom",0,868,868,0.102534562211982,1,0,0.942981852153384,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"51","edgeR-robust",0,868,868,0.460829493087558,0.993664833851303,0.116997792494481,0.947455949635953,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"52","GLMM",0,500,500,0.844,0.998222222222222,0.0186046511627907,0.996235555555556,"13","findcirc","NB","5","0.1","1.5"," 58555195"
"53","DESeq2",0.639736102098205,862,862,0.391941391941392,0.997486535008977,0.0316742081447964,0.750442299219816,"14","findcirc","NB","5","0.1","1.5","215741717"
"54","voom",0,862,862,0.0522041763341067,1,0,0.941400991945765,"14","findcirc","NB","5","0.1","1.5","215741717"
"55","edgeR-robust",0,862,862,0.473317865429234,0.993439885496183,0.118790496760259,0.949062668811213,"14","findcirc","NB","5","0.1","1.5","215741717"
"56","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"14","findcirc","NB","5","0.1","1.5","215741717"
"57","DESeq2",0.736699534077365,875,875,0.479120879120879,0.992405063291139,0.0643776824034335,0.700195697527275,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"58","voom",0,875,875,0.102857142857143,0.999760593727556,0.0217391304347826,0.941240740107389,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"59","edgeR-robust",0,875,875,0.44,0.993536030644003,0.123006833712984,0.949244091795205,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"60","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"61","DESeq2",0.697925669835782,867,867,0.406438631790744,0.994780339277947,0.0560747663551402,0.723631814221485,"16","findcirc","NB","5","0.1","1.5","104464998"
"62","voom",0,867,867,0.0830449826989619,0.999880796280844,0.0136986301369863,0.942042175568236,"16","findcirc","NB","5","0.1","1.5","104464998"
"63","edgeR-robust",0,867,867,0.441753171856978,0.993562999165574,0.123569794050343,0.949511175383039,"16","findcirc","NB","5","0.1","1.5","104464998"
"64","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"16","findcirc","NB","5","0.1","1.5","104464998"
"65","DESeq2",0.697937024972856,874,874,0.338709677419355,0.996500437445319,0.0454545454545455,0.719163071478454,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"66","voom",0,874,874,0.0594965675057208,1,0,0.923062880747727,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"67","edgeR-robust",0,874,874,0.394736842105263,0.994841650671785,0.110824742268041,0.935970077675831,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"68","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"69","DESeq2",0.65930871110154,877,877,0.433395872420263,0.996579247434436,0.0375,0.737848261219133,"18","findcirc","NB","5","0.1","1.5","176267004"
"70","voom",0,877,877,0.0992018244013683,0.999762187871581,0.0224719101123595,0.932789804720179,"18","findcirc","NB","5","0.1","1.5","176267004"
"71","edgeR-robust",0,877,877,0.425313568985177,0.995362663495838,0.0946601941747573,0.945660877735555,"18","findcirc","NB","5","0.1","1.5","176267004"
"72","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"18","findcirc","NB","5","0.1","1.5","176267004"
"73","DESeq2",0.717474142623843,869,869,0.516059957173448,0.992481203007519,0.0622568093385214,0.705058074304334,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"74","voom",0,869,869,0.111622554660529,0.99963924963925,0.03,0.938734570207522,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"75","edgeR-robust",0,869,869,0.444188722669735,0.993626743626744,0.120728929384966,0.944134755412085,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"76","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"77","DESeq2",0.659214830970556,859,859,0.355839416058394,0.996119518820334,0.0487804878048781,0.756673239345474,"20","findcirc","NB","5","0.1","1.5","229454636"
"78","voom",0,859,859,0.10360884749709,1,0,0.932734139601231,"20","findcirc","NB","5","0.1","1.5","229454636"
"79","edgeR-robust",0,859,859,0.435389988358556,0.993743231861389,0.122065727699531,0.941187528093335,"20","findcirc","NB","5","0.1","1.5","229454636"
"80","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"20","findcirc","NB","5","0.1","1.5","229454636"
"81","DESeq2",0.678559844307493,871,871,0.412429378531073,0.997133497133497,0.0309734513274336,0.742610491805256,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"82","voom",0,871,871,0.0826636050516648,1,0,0.93494990844481,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"83","edgeR-robust",0,871,871,0.437428243398393,0.994390069228933,0.10981308411215,0.940239238462553,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"84","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"85","DESeq2",0.659297789336801,857,857,0.422396856581532,0.996204933586338,0.0444444444444444,0.727898951581326,"22","findcirc","NB","5","0.1","1.5","117464760"
"86","voom",0,857,857,0.0863477246207701,0.999880539959384,0.0133333333333333,0.928277278881483,"22","findcirc","NB","5","0.1","1.5","117464760"
"87","edgeR-robust",0,857,857,0.465577596266044,0.993788077887946,0.11529933481153,0.939071267183878,"22","findcirc","NB","5","0.1","1.5","117464760"
"88","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"22","findcirc","NB","5","0.1","1.5","117464760"
"89","DESeq2",0.639926183239253,879,879,0.421428571428571,0.995284729778745,0.0522088353413655,0.753063569641762,"23","findcirc","NB","5","0.1","1.5","260573614"
"90","voom",0,879,879,0.10580204778157,0.999879995199808,0.0106382978723404,0.934287064315338,"23","findcirc","NB","5","0.1","1.5","260573614"
"91","edgeR-robust",0,879,879,0.444823663253697,0.995319812792512,0.0906976744186047,0.943653377534419,"23","findcirc","NB","5","0.1","1.5","260573614"
"92","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"23","findcirc","NB","5","0.1","1.5","260573614"
"93","DESeq2",0.697928026172301,867,867,0.44,0.99647577092511,0.0350877192982456,0.726024389678082,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"94","voom",0,867,867,0.0703575547866205,1,0,0.935159621159426,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"95","edgeR-robust",0,867,867,0.448673587081892,0.993857641816211,0.115909090909091,0.938940928370271,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"96","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"97","DESeq2",0.697926842505156,869,869,0.455284552845528,0.995635093845482,0.0427350427350427,0.71937285062232,"25","findcirc","NB","5","0.1","1.5","190767462"
"98","voom",0,869,869,0.096662830840046,1,0,0.929430972773724,"25","findcirc","NB","5","0.1","1.5","190767462"
"99","edgeR-robust",0,869,869,0.444188722669735,0.99388782358581,0.116704805491991,0.941099328417743,"25","findcirc","NB","5","0.1","1.5","190767462"
"100","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"25","findcirc","NB","5","0.1","1.5","190767462"
"101","DESeq2",0.6397954743255,862,862,0.403377110694184,0.996040316774658,0.0486725663716814,0.73950700930024,"26","findcirc","NB","5","0.1","1.5","180071987"
"102","voom",0,862,862,0.110208816705336,0.999759903961585,0.0206185567010309,0.934772215150563,"26","findcirc","NB","5","0.1","1.5","180071987"
"103","edgeR-robust",0,862,862,0.461716937354988,0.993157262905162,0.125274725274725,0.94351496979302,"26","findcirc","NB","5","0.1","1.5","180071987"
"104","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"26","findcirc","NB","5","0.1","1.5","180071987"
"105","DESeq2",0.717339149400218,853,853,0.503171247357294,0.995280792826805,0.0403225806451613,0.717448449840938,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"106","voom",0,853,853,0.0797186400937866,1,0,0.947636453028242,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"107","edgeR-robust",0,853,853,0.483001172332943,0.992665624624264,0.128964059196617,0.952700798841222,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"108","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"27","findcirc","NB","5","0.1","1.5"," 51632376"
"109","DESeq2",0.697894051237516,859,859,0.473053892215569,0.9943032427695,0.052,0.731137704772267,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"110","voom",0,859,859,0.117578579743888,0.999760565066443,0.0194174757281553,0.939683580742464,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"111","edgeR-robust",0,859,859,0.440046565774156,0.994253561594637,0.112676056338028,0.950341083285593,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"112","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"28","findcirc","NB","5","0.1","1.5"," 29403850"
"113","DESeq2",0.678555941023417,874,874,0.371819960861057,0.996332518337408,0.0452261306532663,0.725743021965223,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"114","voom",0,874,874,0.0640732265446224,1,0,0.939023486208362,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"115","edgeR-robust",0,874,874,0.432494279176201,0.99497005988024,0.1,0.944954027871032,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"116","GLMM",0,500,500,0.868,0.998888888888889,0.0113895216400911,0.995710666666666,"29","findcirc","NB","5","0.1","1.5"," 86980343"
"117","DESeq2",0.717334494773519,860,860,0.470464135021097,0.995758718190386,0.0387931034482759,0.714923435177631,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"118","voom",0,860,860,0.0697674418604651,1,0,0.93919361778215,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"119","edgeR-robust",0,860,860,0.417441860465116,0.993873137914464,0.124390243902439,0.944284738441938,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"120","GLMM",0,500,500,0.856,0.998666666666667,0.0138248847926267,0.998641333333333,"30","findcirc","NB","5","0.1","1.5"," 61855848"
"121","DESeq2",0,992,992,0.860887096774194,0.99632966299633,0.0372040586245772,0.995311227446085," 1","dcc","NB","5","0.1","1.5","247231146"
"122","voom",0,992,992,0.855846774193548,0.996440885329774,0.036322360953462,0.994724787511525," 1","dcc","NB","5","0.1","1.5","247231146"
"123","edgeR-robust",0,992,992,0.870967741935484,0.990657323990657,0.0886075949367089,0.991732043423352," 1","dcc","NB","5","0.1","1.5","247231146"
"124","GLMM",0,500,500,1,0.998666666666667,0.0118577075098814,0.999999111111111," 1","dcc","NB","5","0.1","1.5","247231146"
"125","DESeq2",0,998,998,0.840681362725451,0.996440885329774,0.0367393800229621,0.993940611731751," 2","dcc","NB","5","0.1","1.5","179489772"
"126","voom",0,998,998,0.867735470941884,0.99755310866422,0.0247747747747748,0.992608339802727," 2","dcc","NB","5","0.1","1.5","179489772"
"127","edgeR-robust",0,998,998,0.856713426853707,0.988655321988655,0.106583072100313,0.989017964747197," 2","dcc","NB","5","0.1","1.5","179489772"
"128","GLMM",0,500,500,1,0.999333333333333,0.00596421471172962,1," 2","dcc","NB","5","0.1","1.5","179489772"
"129","DESeq2",0,988,988,0.869433198380567,0.994770223656393,0.0518763796909492,0.994564517168075," 3","dcc","NB","5","0.1","1.5","141246159"
"130","voom",0,988,988,0.87753036437247,0.995326582841883,0.0462046204620462,0.994114136523791," 3","dcc","NB","5","0.1","1.5","141246159"
