"","method","NA_Proportion","TPs","DECs","Sensitivity","Specificity","FDR","AUC","simulation","dataset","distribution","sampleSize","FPR","foldEffect","seed"
"43","DESeq2",0.466595289079229,459,459,0.494545454545455,0.992328519855596,0.111111111111111,0.674240719269845,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"44","voom",0,459,459,0.241830065359477,0.996200427451912,0.125984251968504,0.850183589095681,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"45","edgeR-robust",0,459,459,0.311546840958606,0.99525053431489,0.122699386503067,0.84885368696675,"15","findcirc","NB","5","0.1","1.5"," 94110242"
"46","DESeq2",0.447390932420873,459,459,0.432343234323432,0.992108724243753,0.120805369127517,0.711518322713904,"16","findcirc","NB","5","0.1","1.5","104464998"
"47","voom",0,459,459,0.239651416122004,0.996680104339578,0.112903225806452,0.841806920117399,"16","findcirc","NB","5","0.1","1.5","104464998"
"48","edgeR-robust",0,459,459,0.298474945533769,0.995257291913683,0.127388535031847,0.846659671430557,"16","findcirc","NB","5","0.1","1.5","104464998"
"49","DESeq2",0.448128342245989,458,458,0.452145214521452,0.992534036012297,0.11038961038961,0.720323902109677,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"50","voom",0,458,458,0.253275109170306,0.996680104339578,0.107692307692308,0.865176872981371,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"51","edgeR-robust",0,458,458,0.318777292576419,0.993597344083472,0.15606936416185,0.866053704438157,"17","findcirc","NB","5","0.1","1.5"," 17360448"
"52","DESeq2",0.428206220707286,457,457,0.491803278688525,0.992013451029845,0.112426035502959,0.719300225325607,"18","findcirc","NB","5","0.1","1.5","176267004"
"53","voom",0,457,457,0.269146608315098,0.996931791361813,0.0955882352941176,0.868507040973317,"18","findcirc","NB","5","0.1","1.5","176267004"
"54","edgeR-robust",0,457,457,0.321663019693654,0.995515695067265,0.114457831325301,0.865749991349521,"18","findcirc","NB","5","0.1","1.5","176267004"
"55","DESeq2",0.466223461291014,446,446,0.468864468864469,0.995487364620939,0.072463768115942,0.683937319689363,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"56","voom",0,446,446,0.246636771300448,0.997865781361157,0.0756302521008403,0.829179298823575,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"57","edgeR-robust",0,446,446,0.309417040358744,0.996680104339578,0.0921052631578947,0.826562036429528,"19","findcirc","NB","5","0.1","1.5"," 98487033"
"58","DESeq2",0.506907545164718,461,461,0.501930501930502,0.990295972828724,0.133333333333333,0.660381326910928,"20","findcirc","NB","5","0.1","1.5","229454636"
"59","voom",0,461,461,0.195227765726681,0.997172478793591,0.117647058823529,0.866694539796902,"20","findcirc","NB","5","0.1","1.5","229454636"
"60","edgeR-robust",0,461,461,0.314533622559653,0.992931196983977,0.171428571428571,0.872787101760099,"20","findcirc","NB","5","0.1","1.5","229454636"
"61","DESeq2",0.56408058294042,452,452,0.54296875,0.992688413948256,0.0855263157894737,0.674910800912256,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"62","voom",0,452,452,0.241150442477876,0.997626957759848,0.0840336134453782,0.844079574616428,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"63","edgeR-robust",0,452,452,0.300884955752212,0.997389653535833,0.0748299319727891,0.843943334691359,"21","findcirc","NB","5","0.1","1.5"," 39969073"
"64","DESeq2",0.466766084363017,450,450,0.519867549668874,0.99409359382099,0.0764705882352941,0.730126453031732,"22","findcirc","NB","5","0.1","1.5","117464760"
"65","voom",0,450,450,0.242222222222222,0.998114985862394,0.0683760683760684,0.871164519845011,"22","findcirc","NB","5","0.1","1.5","117464760"
"66","edgeR-robust",0,450,450,0.324444444444444,0.996229971724788,0.0987654320987654,0.871807780919467,"22","findcirc","NB","5","0.1","1.5","117464760"
"67","DESeq2",0.526439232409382,451,451,0.545454545454545,0.994347379239466,0.0683229813664596,0.702991020452571,"23","findcirc","NB","5","0.1","1.5","260573614"
"68","voom",0,451,451,0.250554323725055,0.997169143665959,0.096,0.869750532093238,"23","findcirc","NB","5","0.1","1.5","260573614"
"69","edgeR-robust",0,451,451,0.337028824833703,0.995753715498938,0.105882352941176,0.87077391908835,"23","findcirc","NB","5","0.1","1.5","260573614"
"70","DESeq2",0.408751334044824,450,450,0.508038585209003,0.992679951199675,0.102272727272727,0.730018103109012,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"71","voom",0,450,450,0.297777777777778,0.995277449822904,0.12987012987013,0.871670470943198,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"72","edgeR-robust",0,450,450,0.36,0.995749704840614,0.1,0.868505575232848,"24","findcirc","NB","5","0.1","1.5"," 49407631"
"73","DESeq2",0.408905140890514,442,442,0.46749226006192,0.992989690721649,0.101190476190476,0.762791383032158,"25","findcirc","NB","5","0.1","1.5","190767462"
"74","voom",0,442,442,0.300904977375566,0.99738531019729,0.0763888888888889,0.862329752072337,"25","findcirc","NB","5","0.1","1.5","190767462"
"75","edgeR-robust",0,442,442,0.380090497737557,0.99477062039458,0.115789473684211,0.871604318163974,"25","findcirc","NB","5","0.1","1.5","190767462"
"76","DESeq2",0.427748132337247,456,456,0.401408450704225,0.993742177722153,0.116279069767442,0.678154285572053,"26","findcirc","NB","5","0.1","1.5","180071987"
